Aaron, Hank
Piraten, Fritiof Nilsson
Pirsig, Robert M.
Plath, SylviaPlimpton, Martha
Poe, Edgar Allan
Poincaré, Henri
Polański, RomanPonsonby, Arthur
Pope, Alexander
Popper, Karl
Porson, Richard
Postel, Jon
Powell, Colin
Pratchett, Terry
Premchand, Munshi
Presley, Elvis
Priestley, Joseph
Proudhon, P. J.
Puget, Jade
Punja, Hari
Purcell, Steve
Pushkin, Aleksandr (Alexander Pushkin)
Putin, Vladimir
Pynchon, ThomasQarase, LaiseniaQuale, Anthony
Quarles, Francis
Quayle, Dan
Marie, Queen of Romania
Quine, Willard van Orman
Quintilian, Marcus Fabius
Quisenberry, Dan
RRaajan, Amitrajit
Rabelais, François
Rabin, Yitzhak
Rabuka, Sitiveni
Radner, Gilda
Rae, Pramod
Raleigh, Sir Walter
Ramirez, Manny
Rand, Ayn
Ranke, Leopold von
Ransome, Arthur
Rascoe, Burton
Raskin, Jef
Ravuvu, Asesela
Ray, Gene
Ray, James Arthur
Reagan, Nancy
Reagan, Ronald
Reagan, Ron
Rees, Nigel
Reeve, Christopher
Rehnquist, William
Reich, Wilhelm
Reid, Harry
Reisman, George
Rexroth, Kenneth
Rice, Condoleezza
Richards, Keith
Richelieu, Cardinal
Rickover, Hyman G.
Riley, Tim
Rilke, Rainer Maria
Rimbaud, Arthur
Ripa, Kelly
Ritter, ScottRoRobbins, Anthony
Robespierre, Maximilien
Robinson, Jackie
Robinson, Kim Stanley
Robinson, Spider
Rockefeller, John D.
Rockne, Knute
Rodriguez, Alex
Rogers, Fred
Rogers, Will
Romano, Ray
Rommel, Erwin
Roosevelt, Eleanor
Roosevelt, Franklin Delano
Roosevelt, Theodore
Rosing, Wayne
Roth, Geneen
Roth, Philip
Rothbard, Murray
Rothschild, Baron
Roux, Joseph
Rousseau, Jean-Jacques
Rovabokola, Ratu ViliameRuRudner, Rita
Ruiz, Don Miguel
Rukeyser, Louis
Rumbold, Richard
Rumi, Jalal al-Din Muhammad
Rumsfeld, Donald
Runnels, Dustin
Rushton, Willie
Ruskin, John
Russell, Bertrand
Russell, Nipsey
Russell, Rosaland
Ruth, Babe
Rutherford, Ernest
SSábato, Ernesto
Sade, Donatien de
Sagan, Carl
Saint-Exupéry, Antoine de
Saint-Just, Louis deSalk, Jonas
Salinger, J. D.Sanger, Margaret
San Martín, José de
Santayana, GeorgeSaroyan, William
Sartre, Jean-Paul
Sarven, AllenSatriani, Joe
Sawyer, Diane
Saul, John RalstonSchaar, John
Schama, Simon
Schiller, Friedrich von
Schlüter, Poul
Schneier, Bruce
Schopenhauer, Arthur
Schröder, Gerhard
Schulberg, Budd
Schultz, Charles M.
Schweitzer, Albert
Seabrook, Jeremy
Seagal, Steven
Sedaris, David
Sedgwick, John
Seigle, Lucy
Seldes, George
Sellers, Peter
Serling, Rod
Serrano, MiguelSh-SoShahak, Israel
Shakespeare, William
Shakur, Tupac
Shankar, Ravi (Art of Living founder, not the sitar maestro)
Sharpton, Al
Shaw, George Bernard
Shawcross, Hartley
Sheck, Barry
Shedd, John
Shelley, Mary Wollstonecraft
Shelley, Percy Bysshe
Sheridan, Richard Brinsley
Sherman, William Tecumseh
Shevardnadze, Eduard
Shinoda, Mike
Shirley, James
Schopenhauer, Arthur
Shrivastava, Mataji Nirmala
Siegel, Jerry
Simak, Clifford D.
Simon, PaulSimpson, Jack
Simpson, Jessica
Sinclair, Upton
Singer, Isaac Bashevis
Sidhu, Navjot Singh
Singh, Raman Pratap
Singh, Sir Vijay
Sitwell, Edith
Slick, Grace
Smirnoff, Yakov
Smith, Adam
Smith, Anna Nicole
Smith, Elliott
Smith, Gordon
Smith, Joseph
Smith, Kevin
Smith, Logan Pearsall
Smith, Margaret Chase
Smith, Sydney
Smollett, Tobias
Smuts, Jan Christiaan
Snepscheut, Jan L. A. van deSnow, Carrie
Sobran, Joseph
Solzhenitsyn, Alexander
Sontag, SusanSorkin, Aaron
Soros, George
Southerne, ThomasSp-SySparber, Max
Spears, Britney
Speijk, Jan van
Spence, Gerry
Spencer, Herbert
Spielberg, Steven
Spinoza, Baruch
Spock, Benjamin
Spolsky, Joel
Springsteen, Bruce
Spurgeon, Charles Haddon
Stalin, Joseph
Stallman, Richard M
Stanley, Henry Morton
Stanton, Elizabeth Cady
Starr, Ringo
Starrett, Vincent
Stein, Gertrude
Stein, Herbert
Steinbeck, John
Steinem, Gloria
Stephenson, Neal
Sterling, Bruce
Stevens, Wallace
Stevenson, Adlai
Stevenson, Robert Louis
Stewart, James (Jimmy)
Stewart, Jon
Stein, Ben
Stimson, Henry L.
Stokowski, Leopold
Stone, I. F.
Stone, Lucy
Stone, W. Clement
Stoner Jr., James R.
Stoppard, Tom
Stout, Rex
Stowe, Madeleine
Stratford, Lord (Tony Banks)
Strauss, Richard
Stravinsky, Igor
Stroustrup, Bjarne
Sturgeon, Theodore
Sukuna, Ratu Sir Lala
Sulla, Lucius CorneliusŠustauskas, Vytautas
Sutherland, Kiefer
Suvorov, Alexander Vasilyevich
Suzuka, Shunryu
Swedenborg, Emanuel
Sweetnam, Skye
Swift, Jonathan
Swinburne, Charles Algernon
Swindoll, CharlesSzSzilard, LeoTagore, Rabindranath
Taleb, Nassim Nicholas
Tannen, Deborah
Tate, Sharon
Tavola, Kaliopate
Tchaikovsky, Pyotr IlyichTeilhard de Chardin, Pierre
Tennyson, Alfred (Lord)Tesla, Nikola
Thackeray, William Makepeace
Thant, U
Thatcher, MargaretTheron, CharlizeThompson, Dorothy
Thompson, Hunter S.
Thomson, William - a.k.a. Lord Kelvin
Thoreau, Henry David
Throttle, BenThurber, JamesTito, Josip Broz
Tocqueville, Alexis de
Todorov, Tzvetan
Tohei, Koichi
Tolkien, J. R. R.
Tolstoy, Leo
Tomlin, Lily
Tora, Apisai
Torre, Joe
Torvalds, Linus
Toynbee, ArnoldTr-TwTraficant, James A., Jr.
Travaglia, Simon
Travers, P. L.
Trollope, Anthony
Trotsky, Leon
Trudeau, Pierre
Truman, Harry S.
Trump, Donald
Truth, Sojourner
Tucker, Gideon
Tudor, John
Tugia, Manasa
Tuibua, Esala
Turner, Ted
Turtledove, Harry
Tutu, Desmond
Twain, Mark
Tweed, William Marcy ("Boss")
Tyger, Frank
Tynan, Kenneth
Tzara, Tristan
Tzu HsiUeshiba, Morihei
Unamuno, Miguel de
Updike, John
Ustinov, PeterValenti, Jack
Valéry, Paul
Vance, Jack
Van Gogh, Vincent
Varese, Edgard
Ventura, Jesse
Venturi, Ken
Vidal, Gore
Vivekananda, Swami
Vixie, PaulVon Karman, Theodore
Vonnegut, Kurt
Vosanibola, Josefa
Vaughan, Norman D.
WWagner, Jane
Wainwright, Rufus
Waitley, Denis
Waits, Tom
Walberg, Tim
Wales, Jimbo
Walesa, Lech
Walken, Christopher
Walker, Murray
Wall, Larry
Wallace, Alan
Wallace, David Foster
Waqabaca, Josaia
Waradi, Taito
Warhol, Andy
Warner, Harold
Warren, Earl
Warren, Rick
Warren, Robert Penn
Washington, Booker T.
Washington, George
Washington, Martha
Watson, Thomas J.
Watterson, Bill
Watts, AlanWe-WhWeber, David
Webster, Daniel
Webster, Noah
Weil, Simone
Weinberger, David
Welch, Jack
Welles, Orson
Wellesley, Arthur
Wells, H. G. (Herbert George)
Wellstone, Paul
Wesley, John
West, Mae
West, Morris
Whedon, Joss
White, Andrew Dickson
White, E. B. (Elwyn Brooks)
White, Reggie
White, T. H. (Terence Hanbury)
Whitehead, Alfred North
Whitman, WaltWi-WyWiesel, Elie
Wilber, Ken
Wilberforce, William
Wilcox, Ella Wheeler
Wilde, Oscar
Wilder, Thornton
Wilkes, Maurice
William I, King of EnglandWilliams, Robin
Williams, Roger
Williams, Ted
Williams, Tennessee
Williamson, Henry
Wilson, Robert Anton
Wilson, Brian
Wilson, Colin
Wilson, Flip
Wilson, Ron
Wilson, (Thomas) Woodrow
Winfrey, Oprah
Winner, Michael
Winter, William
Winchell, April
Winchell, Walter
Wittgenstein, Ludwig
Wodehouse, P. G.
Wolff, Christian
Wolfowitz, Paul
Woodward, Bob
Woolf, Virginia
Wordsworth, William
Wozniak, Steve
Wright, Frank Lloyd
Wright, Steven
Wright, Wilbur
Wyden, Ron
Wylie, Philip
Wilson, Eugene S.X, Malcolm (Malcolm Little)
Yankovic, "Weird Al"Yamamoto,Isoroku
Yashinsky, Edward
Yeats, William Butler
Yeltsin, Boris
Yockey, Francis Parker
Yorke, Thom
Yoshida, Takeo
Young, Cy
Young, Edward
Young, Neil
Young, Tyler Shell
Youngman, Henny
Yourcenar, Marguerite
Yutang, LinZacharek, Stephanie
Zappa, Frank
Zawinski, JamieZeldin, TheodoreZiglar, Zig
Zimmermann, Philip
Zinck, Kenneth
Zinn, Howard
Zola, Emile
